  0.00465951   -0.0301517    0.0750722
  -0.0124247   0.00206882   -0.0224278
  -0.0182758  -0.00326283   0.00819033
  0.00479811   0.00205278   -0.0225973
  0.00544942  -0.00949078 -7.34947e-05
 0.000173435    0.0264376   -0.0343897
  0.00330247    0.0213668   -0.0232373
 -0.00691987    0.0101608   -0.0225119
           0            0            0
  0.00911706    0.0355118   -0.0288649
 0.000582941    0.0321427   -0.0236295
           0            0            0
   -0.176058    -0.368342   -0.0332485
   -0.181347       -0.355   -0.0400252
    -0.18301    -0.350089   -0.0359859
   -0.188399     -0.33739   -0.0251006
   -0.183782    -0.347968    -0.052779
    -0.18854    -0.330161   -0.0454949
   -0.195348    -0.316714    -0.047955
   -0.181381    -0.313677   -0.0605936
   -0.189261    -0.296824   -0.0571403
   -0.181887    -0.281309   -0.0595457
  0.00943038  -0.00840122    -0.025112
   0.0146763    0.0115031   -0.0317355
 -0.00224183    0.0044834   -0.0309927
   -0.169778    -0.339591   -0.0313364
   -0.171431    -0.322905   -0.0415322
   -0.181439    -0.305926   -0.0345565
   -0.171588    -0.303111   -0.0500215
   -0.175956     -0.28852   -0.0475692
   -0.179444    -0.276276   -0.0633759
    0.044513   -0.0718439     0.225208
 -0.00784728  -0.00881141    0.0711639
 -0.00421927   -0.0271434    0.0424036
  0.00124795  -0.00886415   0.00247174
   0.0132799    0.0090991   -0.0204303
 -0.00466693  0.000682102  -0.00564262
 -0.00796338 -0.000600148   -0.0217836
   -0.185218    -0.263284   -0.0593328
   -0.184834    -0.244675   -0.0602128
   -0.178804    -0.261389   -0.0693544
     -0.1714    -0.242148   -0.0642723
   -0.178282    -0.235401   -0.0834517
   -0.171305    -0.215688   -0.0770988
   -0.174149    -0.263645   -0.0654685
   -0.170976    -0.249745    -0.070171
   -0.187041    -0.228184   -0.0729698
     -0.1812    -0.227447   -0.0768448
   -0.194569    -0.209026   -0.0786763
   -0.192633    -0.203716   -0.0811196
   -0.158092    -0.120728   -0.0790277
   -0.155109    -0.132055   -0.0653302
   -0.169208     -0.10246   -0.0796473
   -0.169906    -0.111773   -0.0627197
   -0.163265    -0.119983   -0.0465813
   -0.159681    -0.260773   -0.0595191
    -0.16072    -0.241888   -0.0633816
    -0.17116    -0.223793   -0.0711043
   -0.158858    -0.222764   -0.0772721
   -0.171739      -0.2078   -0.0786081
   -0.164978    -0.201157   -0.0760752
