 -4.40826   24.1139   -29.239
  -4.7237   30.0566   28.1395
 -22.8189   32.7685   21.9697
  28.5499  -85.5437  -26.9548
 -69.9626  -14.9117  -75.2263
  70.1554  -51.3533   198.243
 -57.6274  -41.5985  -135.017
  53.3127  0.283569    24.537
  48.3203   69.5866   39.8807
 -43.5104   114.401  -92.3291
  100.187  -31.2879   59.2339
 -57.7481   62.5385  -32.5317
 -51.9499  -103.904   19.6669
  10.3034  -24.4808  -80.9026
 -7.38632  -46.5585   137.234
 -85.9427   24.3887   -55.059
  65.6863  -18.0978  0.949622
   33.262   42.8106  -39.9439
  40.7449   38.0553   31.4118
 -52.8159   5.63763  -129.967
  28.8699   60.9317   133.879
  15.8531  -26.2286  -13.9956
  43.3978   38.1228   -26.874
 -40.1149  -16.1116  -66.9278
 -64.9842  -72.3066   95.2086
   100.11  -92.0087  -56.3105
  -76.568   28.0121   19.4656
 -7.14086  -138.132   164.815
  32.6892   139.057   -29.674
  54.4074  -13.0732   -55.428
  -76.915   66.2345  -27.4079
  75.6967   5.92283 0.0743819
 -23.0804   35.1968  -98.4769
 -29.1673  -72.0731  -15.4589
  12.4766   75.3519   92.5907
  33.0142  -23.8653   41.4314
 -53.8423   13.8034  -40.9644
  111.159  -78.9603   101.467
 -80.2188   71.6944  -128.527
  22.2009  -23.7865   30.9711
 -65.3257   109.273  -7.62199
  39.3095  -49.7882   19.7522
 -24.5729  -51.5794  -38.6559
  11.3976  -22.6195   41.4164
 -46.2324  -25.4536   67.0745
 -40.1668  -20.9296  -98.8233
  55.4091   70.0935    10.267
  17.7378   45.6774   72.3101
  26.6733  -26.8903  -28.2346
 -37.6129  -33.6474  -14.5428
  46.0892   50.6379   91.6048
 -31.4131   17.7769  -35.0373
 -3.77433  -43.1938  -124.204
 -89.2302  -98.1941  -33.3299
   151.24  -8.50073   122.146
 -94.9513   12.0331   105.395
  61.2778   99.8244  -29.5813
 -52.7796  -113.371  -75.4025
  -20.398  -7.70435  -118.038
  11.5329   5.03139    23.458
 -21.9929  -51.0498   71.1129
  46.6968   169.152   61.6273
 -34.7872  -29.1352   36.7823
 -13.4566   -165.02   -132.78
  92.1647   34.9994     151.3
  15.3381   129.657   140.055
 -140.527   132.224  -218.976
 -8.67452  -27.3075  -330.313
  149.065  -460.145    512.38
  81.3811   -404.04  -722.765
  -89.518   993.349   176.021
 -162.689   144.991   489.167
 -56.1483   121.184  -82.2976
    52.36  -59.1706   4.52967
 -14.3566  -49.6316   113.423
  35.2036   120.622  -124.016
 -17.6427   -46.195   89.8675
